"lhs","op","rhs","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all","std.nox"
"BSB","~","TT",0,NA,NA,NA,NA,NA,0,0,0
"BSB","~","JD",0,NA,NA,NA,NA,NA,0,0,0
"BSB","~","DB",0,NA,NA,NA,NA,NA,0,0,0
"BSB","~","JCA",0,NA,NA,NA,NA,NA,0,0,0
"BSB","~","JCT",0,NA,NA,NA,NA,NA,0,0,0
"BSB","~","JCB",0,NA,NA,NA,NA,NA,0,0,0
"BSB","~","JCL",0,NA,NA,NA,NA,NA,0,0,0
"BSB","~","CP",0,NA,NA,NA,NA,NA,0,0,0
"BSB","~","JR",0,NA,NA,NA,NA,NA,0,0,0
"BSB","~","JAR",0,NA,NA,NA,NA,NA,0,0,0
"BSB","~","JPT",0,NA,NA,NA,NA,NA,0,0,0
"BSB","~","BPT",0,NA,NA,NA,NA,NA,0,0,0
"BSB","~","BPL",0,NA,NA,NA,NA,NA,0,0,0
"BSB","~","PP",0,NA,NA,NA,NA,NA,0,0,0
"BSB","~","LP",0,NA,NA,NA,NA,NA,0,0,0
"BSB","~","TP",0,NA,NA,NA,NA,NA,0,0,0
"BSB","~","JBP",0,NA,NA,NA,NA,NA,0,0,0
"BSB","~","JBT",0,NA,NA,NA,NA,NA,0,0,0
"BSB","~","BBT",0,NA,NA,NA,NA,NA,0,0,0
"BSB","~","BBL",0,NA,NA,NA,NA,NA,0,0,0
"BSB","~","PB",0,NA,NA,NA,NA,NA,0,0,0
"BSB","~","LB",0,NA,NA,NA,NA,NA,0,0,0
"BSB","~","TB",0,NA,NA,NA,NA,NA,0,0,0
"BSB","~~","BSB",6.44628611111111,NA,NA,NA,NA,NA,6.44628611111111,1,1
"TT","~~","TT",87.6757854166667,0,NA,NA,87.6757854166667,87.6757854166667,87.6757854166667,1,87.6757854166667
"TT","~~","JD",-3.03493333333333,0,NA,NA,-3.03493333333333,-3.03493333333333,-3.03493333333333,-0.370366045075607,-3.03493333333333
"TT","~~","DB",2.33156875,0,NA,NA,2.33156875,2.33156875,2.33156875,0.508183404247798,2.33156875
"TT","~~","JCA",2.73491875,0,NA,NA,2.73491875,2.73491875,2.73491875,0.27521209277355,2.73491875
"TT","~~","JCT",0.827195833333333,0,NA,NA,0.827195833333333,0.827195833333333,0.827195833333333,0.187454962593756,0.827195833333333
"TT","~~","JCB",2.2222125,0,NA,NA,2.2222125,2.2222125,2.2222125,0.285442464945536,2.2222125
